resident,space,activity,distance,weight
H12,O20,Community Pool/BBQ,10.77,0.0064
H12,O20,Residents Space,10.77,0.0013
H12,O21,Urban Agriculture Garden,2.83,0.1175
H12,O21,Healing Garden,2.83,0.0979
H12,O21,Biodiversity Balcony,2.83,0.0196
H12,O21,Viewpoint,2.83,0.0431
H12,O21,Green Corridor,2.83,0.0392
H12,O21,Offline Retreat,2.83,0.0548
H12,O21,Community Pool/BBQ,2.83,0.0196
H12,O21,Residents Space,2.83,0.0039
H3,O21,Urban Agriculture Garden,3.35,0.069
H3,O21,Healing Garden,3.35,0.0575
H3,O21,Biodiversity Balcony,3.35,0.0115
H3,O21,Viewpoint,3.35,0.0253
H3,O21,Green Corridor,3.35,0.023
H3,O21,Offline Retreat,3.35,0.0322
H3,O21,Community Pool/BBQ,3.35,0.0115
H3,O21,Residents Space,3.35,0.0023
H36,O21,Healing Garden,9.28,0.0486
H36,O21,Green Corridor,9.28,0.0389
H36,O21,Sunbath,9.28,0.0078
H36,O21,Community Pool/BBQ,9.28,0.0584
H36,O21,Sports,9.28,0.0389
H36,O21,Residents Space,9.28,0.0019
H40,O21,Healing Garden,9.75,0.0465
H40,O21,Green Corridor,9.75,0.0372
H40,O21,Sunbath,9.75,0.0074
H40,O21,Community Pool/BBQ,9.75,0.0558
H40,O21,Sports,9.75,0.0372
H40,O21,Residents Space,9.75,0.0019
H16,O21,Sports,10.2,0.0469
H16,O21,Outdoor Cinema/Event Space,10.2,0.0402
H16,O21,Community Pool/BBQ,10.2,0.0469
H16,O22,Sports,2.83,0.1371
H16,O22,Outdoor Cinema/Event Space,2.83,0.1175
H16,O22,Community Pool/BBQ,2.83,0.1371
H13,O22,Playground,4.47,0.0274
H13,O22,Sports,4.47,0.1371
H13,O22,Community Pool/BBQ,4.47,0.0823
H13,O22,Sunbath,4.47,0.011
H13,O22,Viewpoint,4.47,0.0137
H13,O22,Residents Space,4.47,0.0027
H19,O22,Offline Retreat,8.25,0.0324
H19,O22,Outdoor Meeting Room,8.25,0.0405
H19,O22,Flexible Space,8.25,0.0227
H19,O22,Creative Corridor,8.25,0.0324
H19,O22,Viewpoint,8.25,0.0243
H19,O22,Healing Garden,8.25,0.0081
H19,O22,Residents Space,8.25,0.0016
H10,O22,Urban Agriculture Garden,10.2,0.0402
H10,O22,Healing Garden,10.2,0.0335
H10,O22,Biodiversity Balcony,10.2,0.0067
H10,O22,Viewpoint,10.2,0.0147
H10,O22,Green Corridor,10.2,0.0134
H10,O22,Offline Retreat,10.2,0.0188
H10,O22,Community Pool/BBQ,10.2,0.0067
H10,O22,Residents Space,10.2,0.0013
H12,O22,Urban Agriculture Garden,10.2,0.0402
H12,O22,Healing Garden,10.2,0.0335
H12,O22,Biodiversity Balcony,10.2,0.0067
H12,O22,Viewpoint,10.2,0.0147
H12,O22,Green Corridor,10.2,0.0134
H12,O22,Offline Retreat,10.2,0.0188
H12,O22,Community Pool/BBQ,10.2,0.0067
H12,O22,Residents Space,10.2,0.0013
H15,O23,Outdoor Cinema/Event Space,2.83,0.1175
H15,O23,Creative Corridor,2.83,0.0587
H15,O23,Viewpoint,2.83,0.0196
H15,O23,Residents Space,2.83,0.0196
H15,O23,Community Pool/BBQ,2.83,0.1371
H15,O23,Outdoor Meeting Room,2.83,0.0392
H18,O23,Healing Garden,8.25,0.0405
H18,O23,Green Corridor,8.25,0.0324
H18,O23,Sunbath,8.25,0.0065
H18,O23,Community Pool/BBQ,8.25,0.0486
H18,O23,Sports,8.25,0.0324
H18,O23,Residents Space,8.25,0.0016
H39,O23,Outdoor Cinema/Event Space,9.28,0.0778
H39,O23,Creative Corridor,9.28,0.0486
H39,O23,Flexible Space,9.28,0.0292
H39,O23,Offline Retreat,9.28,0.0195
H39,O23,Viewpoint,9.28,0.0175
H39,O23,Residents Space,9.28,0.0019
H11,O23,Playground,10.05,0.0136
H11,O23,Sports,10.05,0.0679
H11,O23,Community Pool/BBQ,10.05,0.0407
H11,O23,Sunbath,10.05,0.0054
H11,O23,Viewpoint,10.05,0.0068
H11,O23,Residents Space,10.05,0.0014
H37,O23,Playground,11.45,0.0161
H37,O23,Sports,11.45,0.0803
H37,O23,Community Pool/BBQ,11.45,0.0482
H37,O23,Sunbath,11.45,0.0064
H37,O23,Viewpoint,11.45,0.008
H37,O23,Residents Space,11.45,0.0016
H18,O24,Healing Garden,2.83,0.0979
H18,O24,Green Corridor,2.83,0.0783
H18,O24,Sunbath,2.83,0.0157
H18,O24,Community Pool/BBQ,2.83,0.1175
H18,O24,Sports,2.83,0.0783
H18,O24,Residents Space,2.83,0.0039
H15,O24,Outdoor Cinema/Event Space,4.47,0.0823
H15,O24,Creative Corridor,4.47,0.0411
H15,O24,Viewpoint,4.47,0.0137
H15,O24,Residents Space,4.47,0.0137
H15,O24,Community Pool/BBQ,4.47,0.096
H15,O24,Outdoor Meeting Room,4.47,0.0274
H41,O24,Outdoor Cinema/Event Space,9.28,0.0486
H41,O24,Creative Corridor,9.28,0.0195
H41,O24,Viewpoint,9.28,0.0389
H41,O24,Flexible Space,9.28,0.0292
H41,O24,Community Pool/BBQ,9.28,0.0486
H41,O24,Residents Space,9.28,0.0097
H14,O24,Flexible Space,10.05,0.0136
H14,O24,Community Pool/BBQ,10.05,0.0543
H14,O24,Outdoor Cinema/Event Space,10.05,0.0339
H14,O24,Viewpoint,10.05,0.0136
H14,O24,Offline Retreat,10.05,0.0122
H14,O24,Residents Space,10.05,0.0014
H11,O24,Playground,11.18,0.0123
H11,O24,Sports,11.18,0.0616
H11,O24,Community Pool/BBQ,11.18,0.0369
H11,O24,Sunbath,11.18,0.0049
H11,O24,Viewpoint,11.18,0.0062
H11,O24,Residents Space,11.18,0.0012
H19,O25,Offline Retreat,2.83,0.0783
H19,O25,Outdoor Meeting Room,2.83,0.0979
H19,O25,Flexible Space,2.83,0.0548
H19,O25,Creative Corridor,2.83,0.0783
H19,O25,Viewpoint,2.83,0.0587
H19,O25,Healing Garden,2.83,0.0196
H19,O25,Residents Space,2.83,0.0039
H16,O25,Sports,4.47,0.096
H16,O25,Outdoor Cinema/Event Space,4.47,0.0823
H16,O25,Community Pool/BBQ,4.47,0.096
H5,O25,Flexible Space,6.18,0.0139
H5,O25,Community Pool/BBQ,6.18,0.0557
H5,O25,Outdoor Cinema/Event Space,6.18,0.0348
H5,O25,Viewpoint,6.18,0.0139
H5,O25,Offline Retreat,6.18,0.0125
H5,O25,Residents Space,6.18,0.0014
H42,O25,Offline Retreat,7.97,0.0446
H42,O25,Outdoor Meeting Room,7.97,0.0557
H42,O25,Flexible Space,7.97,0.0312
H42,O25,Creative Corridor,7.97,0.0446
H42,O25,Viewpoint,7.97,0.0334
H42,O25,Healing Garden,7.97,0.0111
H42,O25,Residents Space,7.97,0.0022
H13,O25,Playground,10.2,0.0134
H13,O25,Sports,10.2,0.067
H13,O25,Community Pool/BBQ,10.2,0.0402
H13,O25,Sunbath,10.2,0.0054
H13,O25,Viewpoint,10.2,0.0067
H13,O25,Residents Space,10.2,0.0013
H4,O26,Flexible Space,3.35,0.023
H4,O26,Community Pool/BBQ,3.35,0.092
H4,O26,Outdoor Cinema/Event Space,3.35,0.0575
H4,O26,Viewpoint,3.35,0.023
H4,O26,Offline Retreat,3.35,0.0207
H4,O26,Residents Space,3.35,0.0023
H40,O26,Healing Garden,3.75,0.1053
H40,O26,Green Corridor,3.75,0.0842
H40,O26,Sunbath,3.75,0.0168
H40,O26,Community Pool/BBQ,3.75,0.1263
H40,O26,Sports,3.75,0.0842
H40,O26,Residents Space,3.75,0.0042
H44,O26,Offline Retreat,7.39,0.0477
H44,O26,Outdoor Meeting Room,7.39,0.0596
H44,O26,Flexible Space,7.39,0.0334
H44,O26,Creative Corridor,7.39,0.0477
H44,O26,Viewpoint,7.39,0.0358
H44,O26,Healing Garden,7.39,0.0119
H44,O26,Residents Space,7.39,0.0024
H5,O26,Flexible Space,7.5,0.0118
H5,O26,Community Pool/BBQ,7.5,0.0471
H5,O26,Outdoor Cinema/Event Space,7.5,0.0294
H5,O26,Viewpoint,7.5,0.0118
H5,O26,Offline Retreat,7.5,0.0106
H5,O26,Residents Space,7.5,0.0012
H19,O26,Offline Retreat,8.06,0.0331
H19,O26,Outdoor Meeting Room,8.06,0.0414
H19,O26,Flexible Space,8.06,0.0232
H19,O26,Creative Corridor,8.06,0.0331
H19,O26,Viewpoint,8.06,0.0248
H19,O26,Healing Garden,8.06,0.0083
H19,O26,Residents Space,8.06,0.0017
H41,O27,Outdoor Cinema/Event Space,3.75,0.1053
H41,O27,Creative Corridor,3.75,0.0421
H41,O27,Viewpoint,3.75,0.0842
H41,O27,Flexible Space,3.75,0.0632
H41,O27,Community Pool/BBQ,3.75,0.1053
H41,O27,Residents Space,3.75,0.0211
H18,O27,Healing Garden,4.47,0.0686
H18,O27,Green Corridor,4.47,0.0548
H18,O27,Sunbath,4.47,0.011
H18,O27,Community Pool/BBQ,4.47,0.0823
H18,O27,Sports,4.47,0.0548
H18,O27,Residents Space,4.47,0.0027
H17,O27,Playground,10.05,0.0136
H17,O27,Sports,10.05,0.0679
H17,O27,Community Pool/BBQ,10.05,0.0407
H17,O27,Sunbath,10.05,0.0054
H17,O27,Viewpoint,10.05,0.0068
H17,O27,Residents Space,10.05,0.0014
H15,O27,Outdoor Cinema/Event Space,10.2,0.0402
H15,O27,Creative Corridor,10.2,0.0201
H15,O27,Viewpoint,10.2,0.0067
H15,O27,Residents Space,10.2,0.0067
H15,O27,Community Pool/BBQ,10.2,0.0469
H15,O27,Outdoor Meeting Room,10.2,0.0134
H14,O27,Flexible Space,11.18,0.0123
H14,O27,Community Pool/BBQ,11.18,0.0493
H14,O27,Outdoor Cinema/Event Space,11.18,0.0308
H14,O27,Viewpoint,11.18,0.0123
H14,O27,Offline Retreat,11.18,0.0111
H14,O27,Residents Space,11.18,0.0012
H43,O28,Flexible Space,4.8,0.0345
H43,O28,Community Pool/BBQ,4.8,0.1379
H43,O28,Outdoor Cinema/Event Space,4.8,0.0862
H43,O28,Viewpoint,4.8,0.0345
H43,O28,Offline Retreat,4.8,0.031
H43,O28,Residents Space,4.8,0.0034
H20,O28,Flexible Space,5.1,0.0246
H20,O28,Community Pool/BBQ,5.1,0.0984
H20,O28,Outdoor Cinema/Event Space,5.1,0.0615
H20,O28,Viewpoint,5.1,0.0246
H20,O28,Offline Retreat,5.1,0.0221
H20,O28,Residents Space,5.1,0.0025
H21,O28,Creative Corridor,7.07,0.0651
H21,O28,Flexible Space,7.07,0.0465
H21,O28,Outdoor Meeting Room,7.07,0.0353
H21,O28,Urban Agriculture Garden,7.07,0.0186
H21,O28,Offline Retreat,7.07,0.0093
H21,O28,Residents Space,7.07,0.0019
H23,O28,Flexible Space,8.06,0.0166
H23,O28,Community Pool/BBQ,8.06,0.0662
H23,O28,Outdoor Cinema/Event Space,8.06,0.0414
H23,O28,Viewpoint,8.06,0.0166
H23,O28,Offline Retreat,8.06,0.0149
H23,O28,Residents Space,8.06,0.0017
H6,O28,Outdoor Cinema/Event Space,8.08,0.0441
H6,O28,Creative Corridor,8.08,0.0275
H6,O28,Flexible Space,8.08,0.0165
H6,O28,Offline Retreat,8.08,0.011
H6,O28,Viewpoint,8.08,0.0099
H6,O28,Residents Space,8.08,0.0011
H21,O29,Creative Corridor,4.03,0.1044
H21,O29,Flexible Space,4.03,0.0746
H21,O29,Outdoor Meeting Room,4.03,0.0567
H21,O29,Urban Agriculture Garden,4.03,0.0298
H21,O29,Offline Retreat,4.03,0.0149
H21,O29,Residents Space,4.03,0.003
H41,O29,Outdoor Cinema/Event Space,5.03,0.0829
H41,O29,Creative Corridor,5.03,0.0332
H41,O29,Viewpoint,5.03,0.0663
H41,O29,Flexible Space,5.03,0.0498
H41,O29,Community Pool/BBQ,5.03,0.0829
H41,O29,Residents Space,5.03,0.0166
H6,O29,Outdoor Cinema/Event Space,7.65,0.0462
H6,O29,Creative Corridor,7.65,0.0289
H6,O29,Flexible Space,7.65,0.0173
H6,O29,Offline Retreat,7.65,0.0116
H6,O29,Viewpoint,7.65,0.0104
H6,O29,Residents Space,7.65,0.0012
H20,O29,Flexible Space,10.01,0.0136
H20,O29,Community Pool/BBQ,10.01,0.0545
H20,O29,Outdoor Cinema/Event Space,10.01,0.0341
H20,O29,Viewpoint,10.01,0.0136
H20,O29,Offline Retreat,10.01,0.0123
H20,O29,Residents Space,10.01,0.0014
H18,O29,Healing Garden,11.67,0.0296
H18,O29,Green Corridor,11.67,0.0237
H18,O29,Sunbath,11.67,0.0047
H18,O29,Community Pool/BBQ,11.67,0.0355
H18,O29,Sports,11.67,0.0237
H18,O29,Residents Space,11.67,0.0012
H4,O30,Flexible Space,3.35,0.023
H4,O30,Community Pool/BBQ,3.35,0.092
H4,O30,Outdoor Cinema/Event Space,3.35,0.0575
H4,O30,Viewpoint,3.35,0.023
H4,O30,Offline Retreat,3.35,0.0207
H4,O30,Residents Space,3.35,0.0023
H44,O30,Offline Retreat,6.05,0.0567
H44,O30,Outdoor Meeting Room,6.05,0.0709
H44,O30,Flexible Space,6.05,0.0397
H44,O30,Creative Corridor,6.05,0.0567
H44,O30,Viewpoint,6.05,0.0426
H44,O30,Healing Garden,6.05,0.0142
H44,O30,Residents Space,6.05,0.0028
H40,O30,Healing Garden,8.25,0.0541
H40,O30,Green Corridor,8.25,0.0432
H40,O30,Sunbath,8.25,0.0086
H40,O30,Community Pool/BBQ,8.25,0.0649
H40,O30,Sports,8.25,0.0432
H40,O30,Residents Space,8.25,0.0022
H5,O30,Flexible Space,12.09,0.0076
H5,O30,Community Pool/BBQ,12.09,0.0306
H5,O30,Outdoor Cinema/Event Space,12.09,0.0191
H5,O30,Viewpoint,12.09,0.0076
H5,O30,Offline Retreat,12.09,0.0069
H5,O30,Residents Space,12.09,0.0008
H22,O30,Sports,13.04,0.0374
H22,O30,Outdoor Cinema/Event Space,13.04,0.0321
H22,O30,Community Pool/BBQ,13.04,0.0374
H44,O31,Offline Retreat,3.75,0.0842
H44,O31,Outdoor Meeting Room,3.75,0.1053
H44,O31,Flexible Space,3.75,0.0589
H44,O31,Creative Corridor,3.75,0.0842
H44,O31,Viewpoint,3.75,0.0632
H44,O31,Healing Garden,3.75,0.0211
H44,O31,Residents Space,3.75,0.0042
H4,O31,Flexible Space,6.18,0.0139
H4,O31,Community Pool/BBQ,6.18,0.0557
H4,O31,Outdoor Cinema/Event Space,6.18,0.0348
H4,O31,Viewpoint,6.18,0.0139
H4,O31,Offline Retreat,6.18,0.0125
H4,O31,Residents Space,6.18,0.0014
H22,O31,Sports,10.2,0.0469
H22,O31,Outdoor Cinema/Event Space,10.2,0.0402
H22,O31,Community Pool/BBQ,10.2,0.0469
H40,O31,Healing Garden,11.64,0.0396
H40,O31,Green Corridor,11.64,0.0316
H40,O31,Sunbath,11.64,0.0063
H40,O31,Community Pool/BBQ,11.64,0.0475
H40,O31,Sports,11.64,0.0316
H40,O31,Residents Space,11.64,0.0016
H5,O31,Flexible Space,11.72,0.0079
H5,O31,Community Pool/BBQ,11.72,0.0314
H5,O31,Outdoor Cinema/Event Space,11.72,0.0197
H5,O31,Viewpoint,11.72,0.0079
H5,O31,Offline Retreat,11.72,0.0071
H5,O31,Residents Space,11.72,0.0008
H44,O32,Offline Retreat,3.75,0.0842
H44,O32,Outdoor Meeting Room,3.75,0.1053
H44,O32,Flexible Space,3.75,0.0589
H44,O32,Creative Corridor,3.75,0.0842
H44,O32,Viewpoint,3.75,0.0632
H44,O32,Healing Garden,3.75,0.0211
H44,O32,Residents Space,3.75,0.0042
H22,O32,Sports,4.47,0.096
H22,O32,Outdoor Cinema/Event Space,4.47,0.0823
H22,O32,Community Pool/BBQ,4.47,0.096
H5,O32,Flexible Space,9.12,0.0099
H5,O32,Community Pool/BBQ,9.12,0.0395
H5,O32,Outdoor Cinema/Event Space,9.12,0.0247
H5,O32,Viewpoint,9.12,0.0099
H5,O32,Offline Retreat,9.12,0.0089
H5,O32,Residents Space,9.12,0.001
H4,O32,Flexible Space,9.6,0.0094
H4,O32,Community Pool/BBQ,9.6,0.0377
H4,O32,Outdoor Cinema/Event Space,9.6,0.0236
H4,O32,Viewpoint,9.6,0.0094
H4,O32,Offline Retreat,9.6,0.0085
H4,O32,Residents Space,9.6,0.0009
H24,O32,Outdoor Cinema/Event Space,10.2,0.0335
H24,O32,Creative Corridor,10.2,0.0134
H24,O32,Viewpoint,10.2,0.0268
H24,O32,Flexible Space,10.2,0.0201
H24,O32,Community Pool/BBQ,10.2,0.0335
H24,O32,Residents Space,10.2,0.0067
H49,O33,Sports,2.91,0.1343
H49,O33,Outdoor Cinema/Event Space,2.91,0.1151
H49,O33,Community Pool/BBQ,2.91,0.1343
H45,O33,Sports,3.21,0.0831
H45,O33,Outdoor Cinema/Event Space,3.21,0.0713
H45,O33,Community Pool/BBQ,3.21,0.0831
H46,O33,Sports,7.51,0.0411
H46,O33,Outdoor Cinema/Event Space,7.51,0.0353
H46,O33,Community Pool/BBQ,7.51,0.0411
H50,O33,Flexible Space,9.11,0.0148
H50,O33,Community Pool/BBQ,9.11,0.0593
H50,O33,Outdoor Cinema/Event Space,9.11,0.0371
H50,O33,Viewpoint,9.11,0.0148
H50,O33,Offline Retreat,9.11,0.0134
H50,O33,Residents Space,9.11,0.0015
H52,O33,Playground,12.12,0.0114
H52,O33,Sports,12.12,0.0572
H52,O33,Community Pool/BBQ,12.12,0.0343
H52,O33,Sunbath,12.12,0.0046
H52,O33,Viewpoint,12.12,0.0057
H52,O33,Residents Space,12.12,0.0011
H55,O34,Flexible Space,4.17,0.0387
H55,O34,Community Pool/BBQ,4.17,0.1547
H55,O34,Outdoor Cinema/Event Space,4.17,0.0967
H55,O34,Viewpoint,4.17,0.0387
H55,O34,Offline Retreat,4.17,0.0348
H55,O34,Residents Space,4.17,0.0039
H51,O34,Offline Retreat,7.6,0.0349
H51,O34,Outdoor Meeting Room,7.6,0.0436
H51,O34,Flexible Space,7.6,0.0244
H51,O34,Creative Corridor,7.6,0.0349
H51,O34,Viewpoint,7.6,0.0262
H51,O34,Healing Garden,7.6,0.0087
H51,O34,Residents Space,7.6,0.0017
H57,O34,Sports,10.34,0.0617
H57,O34,Outdoor Cinema/Event Space,10.34,0.0529
H57,O34,Community Pool/BBQ,10.34,0.0617
H47,O34,Flexible Space,11.07,0.0083
H47,O34,Community Pool/BBQ,11.07,0.0331
H47,O34,Outdoor Cinema/Event Space,11.07,0.0207
H47,O34,Viewpoint,11.07,0.0083
H47,O34,Offline Retreat,11.07,0.0075
H47,O34,Residents Space,11.07,0.0008
H50,O34,Flexible Space,13.12,0.0106
H50,O34,Community Pool/BBQ,13.12,0.0425
H50,O34,Outdoor Cinema/Event Space,13.12,0.0266
H50,O34,Viewpoint,13.12,0.0106
H50,O34,Offline Retreat,13.12,0.0096
H50,O34,Residents Space,13.12,0.0011
H46,O35,Sports,3.35,0.0805
H46,O35,Outdoor Cinema/Event Space,3.35,0.069
H46,O35,Community Pool/BBQ,3.35,0.0805
H52,O35,Playground,4.12,0.0293
H52,O35,Sports,4.12,0.1465
H52,O35,Community Pool/BBQ,4.12,0.0879
H52,O35,Sunbath,4.12,0.0117
H52,O35,Viewpoint,4.12,0.0146
H52,O35,Residents Space,4.12,0.0029
H54,O35,Sports,6.75,0.0903
H54,O35,Outdoor Cinema/Event Space,6.75,0.0774
H54,O35,Community Pool/BBQ,6.75,0.0903
H53,O35,Flexible Space,8.06,0.0166
H53,O35,Community Pool/BBQ,8.06,0.0662
H53,O35,Outdoor Cinema/Event Space,8.06,0.0414
H53,O35,Viewpoint,8.06,0.0166
H53,O35,Offline Retreat,8.06,0.0149
H53,O35,Residents Space,8.06,0.0017
H49,O35,Sports,8.25,0.0568
H49,O35,Outdoor Cinema/Event Space,8.25,0.0486
H49,O35,Community Pool/BBQ,8.25,0.0568
H54,O36,Sports,4.8,0.1207
H54,O36,Outdoor Cinema/Event Space,4.8,0.1034
H54,O36,Community Pool/BBQ,4.8,0.1207
H56,O36,Flexible Space,4.8,0.0345
H56,O36,Community Pool/BBQ,4.8,0.1379
H56,O36,Outdoor Cinema/Event Space,4.8,0.0862
H56,O36,Viewpoint,4.8,0.0345
H56,O36,Offline Retreat,4.8,0.031
H56,O36,Residents Space,4.8,0.0034
H48,O36,Outdoor Cinema/Event Space,6.71,0.0389
H48,O36,Creative Corridor,6.71,0.0195
H48,O36,Viewpoint,6.71,0.0065
H48,O36,Residents Space,6.71,0.0065
H48,O36,Community Pool/BBQ,6.71,0.0454
H48,O36,Outdoor Meeting Room,6.71,0.013
H62,O36,Creative Corridor,11.25,0.0571
H62,O36,Flexible Space,11.25,0.0408
H62,O36,Outdoor Meeting Room,11.25,0.031
H62,O36,Urban Agriculture Garden,11.25,0.0163
H62,O36,Offline Retreat,11.25,0.0082
H62,O36,Residents Space,11.25,0.0016
H53,O36,Flexible Space,11.93,0.0116
H53,O36,Community Pool/BBQ,11.93,0.0464
H53,O36,Outdoor Cinema/Event Space,11.93,0.029
H53,O36,Viewpoint,11.93,0.0116
H53,O36,Offline Retreat,11.93,0.0104
H53,O36,Residents Space,11.93,0.0012
H56,O37,Flexible Space,5.15,0.0325
H56,O37,Community Pool/BBQ,5.15,0.1301
H56,O37,Outdoor Cinema/Event Space,5.15,0.0813
H56,O37,Viewpoint,5.15,0.0325
H56,O37,Offline Retreat,5.15,0.0293
H56,O37,Residents Space,5.15,0.0033
H54,O37,Sports,5.84,0.1023
H54,O37,Outdoor Cinema/Event Space,5.84,0.0877
H54,O37,Community Pool/BBQ,5.84,0.1023
H58,O37,Flexible Space,5.96,0.0287
H58,O37,Community Pool/BBQ,5.96,0.1149
H58,O37,Outdoor Cinema/Event Space,5.96,0.0718
H58,O37,Viewpoint,5.96,0.0287
H58,O37,Offline Retreat,5.96,0.0259
H58,O37,Residents Space,5.96,0.0029
H53,O37,Flexible Space,7.62,0.0174
H53,O37,Community Pool/BBQ,7.62,0.0696
H53,O37,Outdoor Cinema/Event Space,7.62,0.0435
H53,O37,Viewpoint,7.62,0.0174
H53,O37,Offline Retreat,7.62,0.0157
H53,O37,Residents Space,7.62,0.0017
H63,O37,Creative Corridor,10.93,0.0587
H63,O37,Flexible Space,10.93,0.0419
H63,O37,Outdoor Meeting Room,10.93,0.0319
H63,O37,Urban Agriculture Garden,10.93,0.0168
H63,O37,Offline Retreat,10.93,0.0084
H63,O37,Residents Space,10.93,0.0017
H57,O38,Sports,6.91,0.0885
H57,O38,Outdoor Cinema/Event Space,6.91,0.0759
H57,O38,Community Pool/BBQ,6.91,0.0885
H47,O38,Flexible Space,9.0,0.01
H47,O38,Community Pool/BBQ,9.0,0.04
H47,O38,Outdoor Cinema/Event Space,9.0,0.025
H47,O38,Viewpoint,9.0,0.01
H47,O38,Offline Retreat,9.0,0.009
H47,O38,Residents Space,9.0,0.001
H59,O38,Flexible Space,10.09,0.018
H59,O38,Community Pool/BBQ,10.09,0.0721
H59,O38,Outdoor Cinema/Event Space,10.09,0.0451
H59,O38,Viewpoint,10.09,0.018
H59,O38,Offline Retreat,10.09,0.0162
H59,O38,Residents Space,10.09,0.0018
H55,O38,Flexible Space,12.48,0.0148
H55,O38,Community Pool/BBQ,12.48,0.0593
H55,O38,Outdoor Cinema/Event Space,12.48,0.0371
H55,O38,Viewpoint,12.48,0.0148
H55,O38,Offline Retreat,12.48,0.0134
H55,O38,Residents Space,12.48,0.0015
H61,O38,Healing Garden,14.56,0.0321
H61,O38,Green Corridor,14.56,0.0257
H61,O38,Sunbath,14.56,0.0051
H61,O38,Community Pool/BBQ,14.56,0.0386
H61,O38,Sports,14.56,0.0257
H61,O38,Residents Space,14.56,0.0013
H60,O39,Outdoor Cinema/Event Space,5.25,0.096
H60,O39,Creative Corridor,5.25,0.048
H60,O39,Viewpoint,5.25,0.016
H60,O39,Residents Space,5.25,0.016
H60,O39,Community Pool/BBQ,5.25,0.112
H60,O39,Outdoor Meeting Room,5.25,0.032
H58,O39,Flexible Space,6.91,0.0253
H58,O39,Community Pool/BBQ,6.91,0.1011
H58,O39,Outdoor Cinema/Event Space,6.91,0.0632
H58,O39,Viewpoint,6.91,0.0253
H58,O39,Offline Retreat,6.91,0.0228
H58,O39,Residents Space,6.91,0.0025
H53,O39,Flexible Space,12.37,0.0112
H53,O39,Community Pool/BBQ,12.37,0.0449
H53,O39,Outdoor Cinema/Event Space,12.37,0.028
H53,O39,Viewpoint,12.37,0.0112
H53,O39,Offline Retreat,12.37,0.0101
H53,O39,Residents Space,12.37,0.0011
H63,O39,Creative Corridor,13.27,0.0491
H63,O39,Flexible Space,13.27,0.035
H63,O39,Outdoor Meeting Room,13.27,0.0266
H63,O39,Urban Agriculture Garden,13.27,0.014
H63,O39,Offline Retreat,13.27,0.007
H63,O39,Residents Space,13.27,0.0014
H56,O39,Flexible Space,15.82,0.0119
H56,O39,Community Pool/BBQ,15.82,0.0476
H56,O39,Outdoor Cinema/Event Space,15.82,0.0297
H56,O39,Viewpoint,15.82,0.0119
H56,O39,Offline Retreat,15.82,0.0107
H56,O39,Residents Space,15.82,0.0012
H66,O40,Outdoor Cinema/Event Space,2.69,0.122
H66,O40,Creative Corridor,2.69,0.061
H66,O40,Viewpoint,2.69,0.0203
H66,O40,Residents Space,2.69,0.0203
H66,O40,Community Pool/BBQ,2.69,0.1423
H66,O40,Outdoor Meeting Room,2.69,0.0407
H68,O40,Urban Agriculture Garden,8.38,0.048
H68,O40,Healing Garden,8.38,0.04
H68,O40,Biodiversity Balcony,8.38,0.008
H68,O40,Viewpoint,8.38,0.0176
H68,O40,Green Corridor,8.38,0.016
H68,O40,Offline Retreat,8.38,0.0224
H68,O40,Community Pool/BBQ,8.38,0.008
H68,O40,Residents Space,8.38,0.0016
H67,O40,Playground,8.56,0.0157
H67,O40,Sports,8.56,0.0785
H67,O40,Community Pool/BBQ,8.56,0.0471
H67,O40,Sunbath,8.56,0.0063
H67,O40,Viewpoint,8.56,0.0078
H67,O40,Residents Space,8.56,0.0016
H69,O40,Urban Agriculture Garden,14.22,0.0296
H69,O40,Healing Garden,14.22,0.0246
H69,O40,Biodiversity Balcony,14.22,0.0049
H69,O40,Viewpoint,14.22,0.0108
H69,O40,Green Corridor,14.22,0.0099
H69,O40,Offline Retreat,14.22,0.0138
H69,O40,Community Pool/BBQ,14.22,0.0049
H69,O40,Residents Space,14.22,0.001
H70,O40,Outdoor Cinema/Event Space,14.33,0.0294
H70,O40,Creative Corridor,14.33,0.0147
H70,O40,Viewpoint,14.33,0.0049
H70,O40,Residents Space,14.33,0.0049
H70,O40,Community Pool/BBQ,14.33,0.0342
H70,O40,Outdoor Meeting Room,14.33,0.0098
H69,O41,Urban Agriculture Garden,4.29,0.0851
H69,O41,Healing Garden,4.29,0.0709
H69,O41,Biodiversity Balcony,4.29,0.0142
H69,O41,Viewpoint,4.29,0.0312
H69,O41,Green Corridor,4.29,0.0284
H69,O41,Offline Retreat,4.29,0.0397
H69,O41,Community Pool/BBQ,4.29,0.0142
H69,O41,Residents Space,4.29,0.0028
H68,O41,Urban Agriculture Garden,5.52,0.069
H68,O41,Healing Garden,5.52,0.0575
H68,O41,Biodiversity Balcony,5.52,0.0115
H68,O41,Viewpoint,5.52,0.0253
H68,O41,Green Corridor,5.52,0.023
H68,O41,Offline Retreat,5.52,0.0322
H68,O41,Community Pool/BBQ,5.52,0.0115
H68,O41,Residents Space,5.52,0.0023
H70,O41,Outdoor Cinema/Event Space,7.96,0.0502
H70,O41,Creative Corridor,7.96,0.0251
H70,O41,Viewpoint,7.96,0.0084
H70,O41,Residents Space,7.96,0.0084
H70,O41,Community Pool/BBQ,7.96,0.0586
H70,O41,Outdoor Meeting Room,7.96,0.0167
